"Save And Continue Edit","Save And Continue Edit"
"Save Block","Save Block"
"Save Item","Save Item"
"Schedule From Time","Schedule From Time"
"Schedule pattern","Schedule pattern"
"Schedule Pattern","Schedule Pattern"
"Schedule","Schedule"
"Schedule To Time","Schedule To Time"
"Show all","Show all"
"Show in subcategories and products","Show in subcategories and products"
"Show in subcategories","Show in subcategories"
"Show random","Show random"
"Show","Show"
"Sidebar Left Bottom","Sidebar Left Bottom"
"Sidebar Left Top","Sidebar Left Top"
"Sidebar Right Bottom","Sidebar Right Bottom"
"Sidebar Right Top","Sidebar Right Top"
"Sort Order","Sort Order"
"Start date can\'t be greater than end date","Start date can\'t be greater than end date"
"Status","Status"
"Store View","Store View"
"The block does not exist","The block does not exist"
"This content block no longer exists","This content block no longer exists"
"Title","Title"
"To Date","To Date"
"To Time","To Time"
"Unable to find a block to save","Unable to find a block to save"
"Validate the block by MSS rule","Validate the block by MSS rule"
"Z-Blocks","Z-Blocks"
"Blocks List","Blocks List"
"Edit Block","Edit Block"
"Edit Block '%s'","Edit Block '%s'"
"Widget instance","Widget instance"
"Custom Widget","Custom Widget"
"Categories filter is not applicable for selected block position","Categories filter is not applicable for selected block position"
"widget","widget"
"block","block"
"Z-block","Z-block"
"Z-block default template","Z-block default template"
"Select Z-block","Select Z-block"
"Z-block ID","Z-block ID"
"Disable z-block for certain customer groups","Disable z-block for certain customer groups"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions","Conditions"
"Filter Products","Filter Products"
"CMS Pages","CMS Pages"
"Show in CMS pages","Show in CMS pages"
"Yes","Yes"
"No","No"
