Users browsing this topic <b>%s</b> logged customers:: <b>%s</b> and guest <b>%s</b> (based on users active over the past 5 minutes), Users browsing this topic <b>%s</b> logged customers:: <b>%s</b> and guest <b>%s</b> (based on users active over the past 5 minutes)
My Forum Topics, My Forum Topics
My Forum Posts, My Forum Posts
Add New Topic, Add New Topic
Add New Post, Add New Post
Fast Reply, Fast Reply
Submit Post, Submit Post
The Topic and its Posts were successfully deleted!, The Topic and its Posts were successfully deleted!
The Topic was successfully created!, The Topic was successfully created!
The Topic was successfully updated!, The Topic was successfully updated!
The Post was successfully saved!, The Post was successfully saved!
The Post was successfully deleted!, The Post was successfully deleted!
Are You sure?, Are You sure?
Edit Topic "%s" and Post, Edit Topic "%s" and Post
Edit Post in Topic "%s", Edit Post in Topic "%s"
Add Post to Topic "%s", Add Post to Topic "%s"
Logged as Moderator, Logged as Moderator
The Post was successfully enabled!, The Post was successfully enabled!
The Post was successfully disabled!, The Post was successfully disabled!
Activate, Activate
Deactivate, Deactivate
The Topic and its Post was successfully enabled!, The Topic and its Post was successfully enabled!
The Topic and its Post was successfully disabled!, The Topic and its Post was successfully disabled!
The Post was saved and will be added after moderation!, The Post was saved and will be added after moderation!
The Topic was saved and will be added after moderation!, The Topic was saved and will be added after moderation!
Sort By Status, Sort By Status
Not Active, Not Active
Active, Active
Not Correct Recaptcha Text!, Not Correct Recaptcha Text!
Notify me if someone post on this Topic, Notify me if someone post on this Topic
You unsubscribed from Topic %s, You unsubscribed from Topic %s
You are subscribed to this Topic!, You are subscribed to this Topic!
With selected, With selected
Go, Go
No items Selected, No items Selected
Select Action, Select Action
Are you sure, Are you sure
%s Topics and theirs Post were successfully disabled!, %s Topics and theirs Post were successfully disabled!
%s Posts were successfully disabled!, %s Posts were successfully disabled!
%s Topics and theirs Post were successfully enabled!, %s Topics and theirs Post were successfully enabled!
%s Posts were successfully enabled!, %s Posts were successfully enabled!
%s Topics and theirs Post were successfully deleted, %s Topics and theirs Post were successfully deleted
%s Posts were successfully deleted!, %s Posts were successfully deleted!
Reset Search, Reset Search
NickName, NickName
Use NickName, Use NickName
Top, Top
No Data To Display, No Data To Display
Joined Date, Joined Date
All Stores Views, All Stores Views
Our Forum, Our Forum
No Forum Topics about this product, No Forum Topics about this product

Set limits Forums; Topics; Posts per page, Set limits Forums; Topics; Posts per page
Show Description Field on Topic Form, Show Description Field on Topic Form

tinyMCE Settings,tinyMCE Settings
Allow image upload for backend, Allow image upload for backend
Allow image upload for frontend, Allow image upload for frontend
Uploader connector path,Uploader connector path
Image path, Image path

My Forum Acount, My Forum Acount
alowed tags, alowed tags
width, width
Nickname could not be empty, Nickname could not be empty
Nickname should be more then 5 characters length, Nickname should be more then 5 characters length
Forum profile was successfully saved!, Forum profile was successfully saved!
Nickname already exists!, Nickname already exists!
File: <b>%s</b> successfully uploaded!, File: <b>%s</b> successfully uploaded!
The uploaded file exceeds the max. upload filesize directive in the server configuration., The uploaded file exceeds the max. upload filesize directive in the server configuration.
The uploaded file exceeds the MAX_FILE_SIZE directive., The uploaded file exceeds the MAX_FILE_SIZE directive.
The uploaded file was only partially uploaded, The uploaded file was only partially uploaded
No file was uploaded, No file was uploaded
Missing a temporary folder., Missing a temporary folder.
Failed to write file to disk., Failed to write file to disk.
A PHP extension stopped the file upload., A PHP extension stopped the file upload.
Please select a file for upload., Please select a file for upload.
Only files with the following extensions are allowed: <b>%s</b>, Only files with the following extensions are allowed: <b>%s</b>
Sorry. The filename contains invalid characters. Use only alphanumerical chars and separate parts of the name (if needed) with an underscore. <br>A valid filename ends with one dot followed by the extension., Sorry. The filename contains invalid characters. Use only alphanumerical chars and separate parts of the name (if needed) with an underscore. <br>A valid filename ends with one dot followed by the extension.
The filename exceeds the maximum length of %s characters., The filename exceeds the maximum length of %s characters.
Sorry. The upload directory does not exist!, Sorry. The upload directory does not exist!
Uploading <b>%s...Error!</b> Sorry. A file with this name already exitst., Uploading <b>%s...Error!</b> Sorry. A file with this name already exitst.
The uploaded file is renamed to <b>%s</b>., The uploaded file is renamed to <b>%s</b>.
The file %s does not exist., The file %s does not exist.
Unknown error!, Unknown error!
Are you sure you want delete avatar image?, Are you sure you want delete avatar image?
path to /media/forumavatar/ eg. http://www.yoursite.com/media/forumavatar/, path to /media/forumavatar/ eg. http://www.yoursite.com/media/forumavatar/
Edit Admin Front Settings, Edit Admin Profile Settings
Admin Display Settings, Admin Profile Settings
Parent Topic could not have Posts. Only subtopics!, Parent Topic could not have Posts. Only subtopics!
Latest Posts, Latest Posts
Use Image Resize, Use Image Resize
resize image after upload if width bigger, resize image after upload if width bigger
Maximum Image Width, Maximum Image Width
Accept, Accept
Cancel, Cancel
Saint, Saint
Evil, Evil
Question, Question
Cry, Cry
Devil, Devil
Shame, Shame
Disappointed, Disappointed
Smart, Smart
Laughter, Laughter
Smile, Smile
Monkey, Monkey
Sad, Sad
Kiss, Kiss
Wink, Wink
Forum Icons, Forum Icons
Topic Icons, Topic Icons
Show Topic Status, Show Topic Status
Display different folder icons for non-answered and hot topic, Display different folder icons for non-answered and hot topic
Forum Topic or Sub-Topic, Forum Topic or Sub-Topic
Forum Topic with childs Sub-Topics, Forum Topic with childs Sub-Topics
Topic or Sub-Topic without new Posts, Topic or Sub-Topic without new Posts
Hot Topic or Sub-Topic!, Hot Topic or Sub-Topic!
Show Quote Link, Show Quote Link
QUOTE, QUOTE

My Private Messages, My Private Messages
Send Private Message, Send Private Message
My Private Mesages(Trash), My Private Mesages(Trash)
My Private Mesages(Sent), My Private Mesages(Sent)
My Private Mesages(Inbox), My Private Mesages(Inbox)
Send Private Message to, Send Private Message to
Error saving private message! Data not valid!, Error saving private message! Data not valid!
Error saving private message!, Error saving private message!
Private message sent!, Private message sent!
Message Subject, Message Subject
Sent From, Sent From
Date Sent, Date Sent
Move to Trash, Move to Trash
Delete Message, Delete Message
Move to Sent, Move to Sent
Move to Inbox, Move to Inbox
Reply to Message, Reply to Message
Mark as Read, Mark as Read
%s private message(s) marked as read!, %s private message(s) marked as read!
%s private message(s) moved to trash!, %s private message(s) moved to trash!
%s private message(s) are deleted!, %s private message(s) are deleted!
me, me
Recipient, Recipient
Sender, Sender
View Private Messages, View Private Messages
Original Message, Original Message
from, from
Back to Inbox, Back to Inbox
Back to Sent, Back to Sent
Back to Trash, Back to Trash
Message, Message
Reply Text, Reply Text
Someone has sent you a Private Message, Someone has sent you a Private Message
User Private Message Notification, User Private Message Notification
Forum User Notification, Forum User Notification

Inbox, Inbox
Sent, Sent
Trash, Trash

Administrator, Administrator
Moderator, Moderator
User, User
Name Not Set, Name Not Set
Forum Admin, Forum Admin
Profile for Forum User, Profile for Forum User
Forum Status, Forum Status
Send Private Message, Send Private Message
Send PM, Send PM

Search by Posts Content, Search by Posts Content
Search by Topics Title, Search by Topics Title

